invoice_id,due_date,invoice_amount,days_late,payment_date,payment_amount
INV_102,2023-03-21,34698.76,5,2023-03-26,34698.76
INV_103,2023-03-13,35008.22,5,2023-03-18,35008.22
INV_104,2024-04-13,32607.63,0,2024-04-13,32607.63
INV_105,2023-07-16,14126.77,0,2023-07-16,14126.77
INV_106,2022-08-19,8232.23,15,2022-09-03,8232.23
INV_107,2024-12-24,31979.05,60,2025-02-22,31979.05
INV_108,2025-02-08,30165.45,15,2025-02-23,30165.45
INV_109,2022-09-15,9378.12,0,2022-09-15,9378.12
INV_110,2023-10-05,35404.39,0,2023-10-05,35404.39
INV_111,2024-12-30,23031.01,0,2024-12-30,23031.01
INV_112,2023-08-08,33554.15,0,2023-08-08,33554.15
INV_113,2024-06-17,41949.67,5,2024-06-22,41949.67
INV_114,2024-02-28,8901.56,5,2024-03-04,8901.56
INV_115,2022-10-24,1447.67,15,2022-11-08,1447.67
INV_116,2022-07-13,39065.58,15,2022-07-28,39065.58
INV_117,2024-10-29,30680.02,0,2024-10-29,30680.02
INV_118,2023-11-17,35132.16,0,2023-11-17,35132.16
INV_119,2023-04-25,41988.67,15,2023-05-10,41988.67
INV_120,2024-07-29,40239.14,0,2024-07-29,40239.14
INV_121,2022-06-16,48065.55,0,2022-06-16,48065.55
INV_122,2023-04-24,27028.79,0,2023-04-24,27028.79
INV_123,2023-01-22,24680.53,0,2023-01-22,24680.53
INV_124,2023-10-26,20393.42,0,2023-10-26,20393.42
INV_125,2024-02-08,8107.71,15,2024-02-23,8107.71
INV_126,2024-01-27,28844.06,30,2024-02-26,28844.06
INV_127,2022-12-31,14212.12,0,2022-12-31,14212.12
INV_128,2023-03-04,46104.72,0,2023-03-04,46104.72
INV_129,2024-08-14,29367.94,15,2024-08-29,29367.94
INV_130,2022-04-25,29845.59,0,2022-04-25,29845.59
INV_131,2024-11-27,18068.77,0,2024-11-27,18068.77
INV_132,2022-11-06,3073.47,0,2022-11-06,3073.47
INV_133,2023-02-15,2071.32,0,2023-02-15,2071.32
INV_134,2024-08-12,21455.09,15,2024-08-27,21455.09
INV_135,2023-09-29,4685.99,15,2023-10-14,4685.99
INV_136,2024-01-01,30538.92,0,2024-01-01,30538.92
INV_137,2022-12-19,44108.16,0,2022-12-19,44108.16
INV_138,2022-12-10,44204.28,0,2022-12-10,44204.28
INV_139,2023-08-07,33122.75,0,2023-08-07,33122.75
INV_140,2022-11-24,10955.98,60,2023-01-23,10955.98
INV_141,2022-08-21,43218.34,15,2022-09-05,43218.34
INV_142,2023-07-05,44361.63,5,2023-07-10,44361.63
INV_143,2024-12-13,10234.35,15,2024-12-28,10234.35
INV_144,2024-07-08,37002.59,15,2024-07-23,37002.59
INV_145,2022-11-25,14682.72,15,2022-12-10,14682.72
INV_146,2023-10-13,40230.7,-5,2023-10-08,40230.7
INV_147,2022-10-26,49863.28,0,2022-10-26,49863.28
INV_148,2022-06-05,1986.29,15,2022-06-20,1986.29
INV_149,2024-05-09,44919.61,0,2024-05-09,44919.61
INV_150,2023-05-23,31320.21,60,2023-07-22,31320.21
INV_151,2023-09-06,48682.44,15,2023-09-21,48682.44
INV_152,2023-04-23,23517.97,60,2023-06-22,23517.97
INV_153,2024-09-24,42445.7,0,2024-09-24,42445.7
INV_154,2022-11-25,3588.51,30,2022-12-25,3588.51
INV_155,2023-02-27,17096.31,0,2023-02-27,17096.31
INV_156,2023-06-18,3817.32,60,2023-08-17,3817.32
INV_157,2023-11-27,48779.49,0,2023-11-27,48779.49
INV_158,2023-09-20,40940.21,5,2023-09-25,40940.21
INV_159,2022-07-24,42701.1,15,2022-08-08,42701.1
INV_160,2022-10-03,46929.28,5,2022-10-08,46929.28
INV_161,2023-05-18,4712.62,5,2023-05-23,4712.62
INV_162,2024-03-15,19587.08,60,2024-05-14,19587.08
INV_163,2024-09-18,4016.23,5,2024-09-23,4016.23
INV_164,2022-07-02,10934.26,5,2022-07-07,10934.26
INV_165,2023-04-26,11853.61,0,2023-04-26,11853.61
INV_166,2024-02-04,23720.81,15,2024-02-19,23720.81
INV_167,2022-12-01,13793.83,5,2022-12-06,13793.83
INV_168,2023-06-08,5498.42,5,2023-06-13,5498.42
INV_169,2024-07-09,8790.81,-5,2024-07-04,8790.81
INV_170,2023-12-15,7790.14,5,2023-12-20,7790.14
INV_171,2023-03-01,48667.3,-5,2023-02-24,48667.3
INV_172,2022-06-28,38084.98,-5,2022-06-23,38084.98
INV_173,2024-04-15,48404.19,5,2024-04-20,48404.19
INV_174,2022-08-06,22267.15,0,2022-08-06,22267.15
INV_175,2022-10-20,14279.24,0,2022-10-20,14279.24
INV_176,2022-11-03,40015.51,15,2022-11-18,40015.51
INV_177,2023-04-11,16649.57,0,2023-04-11,16649.57
INV_178,2023-09-18,15319.48,0,2023-09-18,15319.48
INV_179,2023-11-19,12009.05,0,2023-11-19,12009.05
INV_180,2025-01-30,6919.11,5,2025-02-04,6919.11
INV_181,2023-12-13,13194.92,15,2023-12-28,13194.92
INV_182,2024-08-30,18088.33,15,2024-09-14,18088.33
INV_183,2024-11-18,33862.71,0,2024-11-18,33862.71
INV_184,2023-03-10,3596.96,0,2023-03-10,3596.96
INV_185,2023-01-02,10920.09,0,2023-01-02,10920.09
INV_186,2022-04-11,40546.67,5,2022-04-16,40546.67
INV_187,2025-01-28,7772.64,30,2025-02-27,7772.64
INV_188,2023-08-18,17460.93,0,2023-08-18,17460.93
INV_189,2022-07-31,43300.62,0,2022-07-31,43300.62
INV_190,2023-03-23,8168.8,0,2023-03-23,8168.8
INV_191,2022-10-08,4595.47,5,2022-10-13,4595.47
INV_192,2023-12-27,24484.63,15,2024-01-11,24484.63
INV_193,2025-01-14,15469.77,5,2025-01-19,15469.77
INV_194,2022-07-29,28388.71,30,2022-08-28,28388.71
INV_195,2024-09-05,40288.34,5,2024-09-10,40288.34
INV_196,2023-01-27,7288.85,0,2023-01-27,7288.85
INV_197,2024-08-27,29244.6,0,2024-08-27,29244.6
INV_198,2022-03-15,25522.68,15,2022-03-30,25522.68
INV_199,2024-11-25,7631.9,5,2024-11-30,7631.9
INV_200,2024-03-01,31387.93,5,2024-03-06,31387.93
INV_201,2022-05-09,14045.2,15,2022-05-24,14045.2
INV_202,2022-09-15,24647.8,5,2022-09-20,24647.8
INV_203,2022-05-04,4572.48,30,2022-06-03,4572.48
INV_204,2023-04-08,23249.41,5,2023-04-13,23249.41
INV_205,2023-03-22,15669.94,15,2023-04-06,15669.94
INV_206,2023-05-26,41207.87,0,2023-05-26,41207.87
INV_207,2022-12-22,3320.45,15,2023-01-06,3320.45
INV_208,2024-08-29,21221.06,30,2024-09-28,21221.06
INV_209,2022-10-13,23192.36,0,2022-10-13,23192.36
INV_210,2022-07-11,36387.8,15,2022-07-26,36387.8
INV_211,2023-12-06,28927.23,15,2023-12-21,28927.23
INV_212,2024-08-14,33527.01,0,2024-08-14,33527.01
INV_213,2023-04-09,38963.94,5,2023-04-14,38963.94
INV_214,2022-07-21,43179.05,0,2022-07-21,43179.05
INV_215,2023-12-16,16036.84,60,2024-02-14,16036.84
INV_216,2024-09-14,27132.12,15,2024-09-29,27132.12
INV_217,2024-05-09,42085.35,0,2024-05-09,42085.35
INV_218,2024-09-27,49477.83,0,2024-09-27,49477.83
INV_219,2024-11-23,44531.21,5,2024-11-28,44531.21
INV_220,2024-11-20,18887.63,0,2024-11-20,18887.63
INV_221,2022-04-27,10160.74,-5,2022-04-22,10160.74
INV_222,2022-03-14,24724.93,5,2022-03-19,24724.93
INV_223,2022-03-06,37211.25,0,2022-03-06,37211.25
INV_224,2023-01-10,24882.17,0,2023-01-10,24882.17
INV_225,2024-01-02,24417.45,15,2024-01-17,24417.45
INV_226,2024-03-08,41992.41,30,2024-04-07,41992.41
INV_227,2024-12-05,18389.49,15,2024-12-20,18389.49
INV_228,2022-06-11,43059.84,15,2022-06-26,43059.84
INV_229,2022-04-22,20636.84,0,2022-04-22,20636.84
INV_230,2022-05-13,16747.54,0,2022-05-13,16747.54
INV_231,2023-03-26,22972.5,0,2023-03-26,22972.5
INV_232,2023-08-01,38241.12,15,2023-08-16,38241.12
INV_233,2024-04-17,6737.1,30,2024-05-17,6737.1
INV_234,2022-07-26,10222.75,15,2022-08-10,10222.75
INV_235,2024-01-20,47596.52,30,2024-02-19,47596.52
INV_236,2022-07-03,9186.84,5,2022-07-08,9186.84
INV_237,2023-07-25,28602.5,0,2023-07-25,28602.5
INV_238,2022-11-07,29176.07,5,2022-11-12,29176.07
INV_239,2024-02-18,24736.41,0,2024-02-18,24736.41
INV_240,2023-01-02,32414.89,-5,2022-12-28,32414.89
INV_241,2024-12-15,11876.42,15,2024-12-30,11876.42
INV_242,2023-07-17,27856.78,5,2023-07-22,27856.78
INV_243,2022-06-20,18922.58,5,2022-06-25,18922.58
INV_244,2023-08-13,33252.53,5,2023-08-18,33252.53
INV_245,2022-09-14,7490.57,0,2022-09-14,7490.57
INV_246,2025-01-27,28758.43,5,2025-02-01,28758.43
INV_247,2024-03-11,9670.88,5,2024-03-16,9670.88
INV_248,2022-08-11,14292.83,0,2022-08-11,14292.83
INV_249,2023-07-25,11326.14,15,2023-08-09,11326.14
INV_250,2022-11-19,9550.47,5,2022-11-24,9550.47
INV_251,2022-10-31,41372.69,5,2022-11-05,41372.69
INV_252,2023-08-26,14642.52,30,2023-09-25,14642.52
INV_253,2024-12-22,46392.63,30,2025-01-21,46392.63
INV_254,2023-04-28,48511.36,30,2023-05-28,48511.36
INV_255,2023-02-27,28777.39,0,2023-02-27,28777.39
INV_256,2023-04-06,7578.56,-5,2023-04-01,7578.56
INV_257,2022-07-18,19040.14,0,2022-07-18,19040.14
INV_258,2024-01-21,39987.75,0,2024-01-21,39987.75
INV_259,2023-09-24,18685.84,30,2023-10-24,18685.84
INV_260,2023-11-10,4807.35,5,2023-11-15,4807.35
INV_261,2022-05-21,28060.85,0,2022-05-21,28060.85
INV_262,2023-12-04,42333.48,0,2023-12-04,42333.48
INV_263,2023-10-27,39898.36,0,2023-10-27,39898.36
INV_264,2024-05-13,9168.6,5,2024-05-18,9168.6
INV_265,2024-03-14,33801.85,15,2024-03-29,33801.85
INV_266,2024-07-11,11414.96,30,2024-08-10,11414.96
INV_267,2023-03-05,11301.27,30,2023-04-04,11301.27
INV_268,2022-05-08,43766.55,0,2022-05-08,43766.55
INV_269,2024-02-23,12858.61,0,2024-02-23,12858.61
INV_270,2023-02-27,13530.74,0,2023-02-27,13530.74
INV_271,2023-12-29,532.34,0,2023-12-29,532.34
INV_272,2024-08-24,43598.12,30,2024-09-23,43598.12
INV_273,2023-06-27,39733.44,5,2023-07-02,39733.44
INV_274,2024-11-25,31552.78,15,2024-12-10,31552.78
INV_275,2024-10-26,37638.16,5,2024-10-31,37638.16
INV_276,2022-03-27,8026.4,-5,2022-03-22,8026.4
INV_277,2022-09-15,23187.02,0,2022-09-15,23187.02
INV_278,2024-09-24,17885.36,5,2024-09-29,17885.36
INV_279,2022-12-11,5141.94,15,2022-12-26,5141.94
INV_280,2023-08-09,24563.46,0,2023-08-09,24563.46
INV_281,2024-12-27,46076.61,15,2025-01-11,46076.61
INV_282,2023-04-27,2482.93,15,2023-05-12,2482.93
INV_283,2022-02-23,14927.32,5,2022-02-28,14927.32
INV_284,2022-05-11,10773.28,15,2022-05-26,10773.28
INV_285,2024-09-30,12288.26,5,2024-10-05,12288.26
INV_286,2024-02-10,45467.51,15,2024-02-25,45467.51
INV_287,2022-11-22,23669.42,15,2022-12-07,23669.42
INV_288,2023-09-11,23581.82,60,2023-11-10,23581.82
INV_289,2023-02-14,38148.49,0,2023-02-14,38148.49
INV_290,2024-07-09,8147.36,5,2024-07-14,8147.36
INV_291,2023-08-22,24619.64,0,2023-08-22,24619.64
INV_292,2023-10-29,21784.27,0,2023-10-29,21784.27
INV_293,2025-02-13,30047.08,15,2025-02-28,30047.08
INV_294,2025-01-15,49978.11,30,2025-02-14,49978.11
INV_295,2023-12-16,38587.72,0,2023-12-16,38587.72
INV_296,2022-12-30,20194.35,0,2022-12-30,20194.35
INV_297,2023-07-08,41463.88,0,2023-07-08,41463.88
INV_298,2024-01-08,8950.06,5,2024-01-13,8950.06
INV_299,2024-10-15,2007.95,0,2024-10-15,2007.95
INV_300,2023-06-02,10620.19,0,2023-06-02,10620.19
INV_301,2023-04-08,17350.37,15,2023-04-23,17350.37
INV_302,2022-05-21,25773.75,-5,2022-05-16,25773.75
INV_303,2024-08-10,30948.89,5,2024-08-15,30948.89
INV_304,2023-02-02,45574.98,15,2023-02-17,45574.98
INV_305,2022-09-05,25737.77,0,2022-09-05,25737.77
INV_306,2023-11-11,25313.14,5,2023-11-16,25313.14
INV_307,2023-12-13,2987.03,15,2023-12-28,2987.03
INV_308,2022-04-18,2228.12,15,2022-05-03,2228.12
INV_309,2023-03-16,27782.42,5,2023-03-21,27782.42
INV_310,2023-08-25,22189.84,0,2023-08-25,22189.84
INV_311,2023-06-27,42039.43,15,2023-07-12,42039.43
INV_312,2022-09-11,8453.64,15,2022-09-26,8453.64
INV_313,2022-04-29,1736.1,0,2022-04-29,1736.1
INV_314,2022-09-11,22727.42,0,2022-09-11,22727.42
INV_315,2023-07-02,12255.19,0,2023-07-02,12255.19
INV_316,2024-05-18,2955.91,0,2024-05-18,2955.91
INV_317,2024-07-03,36367.62,5,2024-07-08,36367.62
INV_318,2024-06-02,6023.85,0,2024-06-02,6023.85
INV_319,2022-04-28,30611.82,0,2022-04-28,30611.82
INV_320,2022-05-14,14411.96,15,2022-05-29,14411.96
INV_321,2024-09-26,9088.05,0,2024-09-26,9088.05
INV_322,2023-12-23,19297.7,15,2024-01-07,19297.7
INV_323,2023-05-01,40171.57,15,2023-05-16,40171.57
INV_324,2023-04-26,19908.63,0,2023-04-26,19908.63
INV_325,2022-08-02,37663.1,15,2022-08-17,37663.1
INV_326,2024-05-16,6711.57,15,2024-05-31,6711.57
INV_327,2022-08-09,38752.19,0,2022-08-09,38752.19
INV_328,2024-11-29,12228.2,0,2024-11-29,12228.2
INV_329,2024-01-17,34030.96,5,2024-01-22,34030.96
INV_330,2022-10-16,28506.19,30,2022-11-15,28506.19
INV_331,2023-06-16,46492.66,5,2023-06-21,46492.66
INV_332,2022-02-18,19672.46,0,2022-02-18,19672.46
INV_333,2023-09-23,3775.18,15,2023-10-08,3775.18
INV_334,2022-06-24,1448.2,5,2022-06-29,1448.2
INV_335,2022-10-13,41429.5,5,2022-10-18,41429.5
INV_336,2024-01-13,26474.41,15,2024-01-28,26474.41
INV_337,2024-02-06,38874.58,5,2024-02-11,38874.58
INV_338,2023-03-03,12104.07,15,2023-03-18,12104.07
INV_339,2024-06-17,17581.65,15,2024-07-02,17581.65
INV_340,2023-04-25,1990.14,5,2023-04-30,1990.14
INV_341,2022-03-07,48093.87,0,2022-03-07,48093.87
INV_342,2023-05-31,33559.46,15,2023-06-15,33559.46
INV_343,2024-05-27,46693.65,30,2024-06-26,46693.65
INV_344,2023-09-17,13642.07,0,2023-09-17,13642.07
INV_345,2022-03-04,30767.45,5,2022-03-09,30767.45
INV_346,2022-12-05,34085.75,0,2022-12-05,34085.75
INV_347,2024-02-22,16218.71,15,2024-03-08,16218.71
INV_348,2024-06-02,42481.41,15,2024-06-17,42481.41
INV_349,2024-10-31,47384.49,0,2024-10-31,47384.49
INV_350,2024-05-26,44300.33,30,2024-06-25,44300.33
INV_351,2024-09-08,37083.82,0,2024-09-08,37083.82
INV_352,2023-02-13,14234.5,15,2023-02-28,14234.5
INV_353,2022-03-22,14439.99,5,2022-03-27,14439.99
INV_354,2023-06-20,48186.34,0,2023-06-20,48186.34
INV_355,2023-08-15,1009.08,0,2023-08-15,1009.08
INV_356,2024-06-28,35944.47,0,2024-06-28,35944.47
INV_357,2023-12-19,35459.19,15,2024-01-03,35459.19
INV_358,2022-03-28,31323.13,5,2022-04-02,31323.13
INV_359,2025-02-13,49510.39,0,2025-02-13,49510.39
INV_360,2022-07-16,15938.03,0,2022-07-16,15938.03
INV_361,2023-07-12,17328.61,0,2023-07-12,17328.61
INV_362,2023-04-10,4407.5,15,2023-04-25,4407.5
INV_363,2024-03-12,22418.51,15,2024-03-27,22418.51
INV_364,2022-02-14,13421.9,0,2022-02-14,13421.9
INV_365,2023-06-03,17497.64,5,2023-06-08,17497.64
INV_366,2023-09-05,41811.3,0,2023-09-05,41811.3
INV_367,2023-06-16,46806.48,30,2023-07-16,46806.48
INV_368,2024-04-21,9693.79,30,2024-05-21,9693.79
INV_369,2023-09-29,18939.19,15,2023-10-14,18939.19
INV_370,2025-02-16,46467.21,30,2025-03-18,46467.21
INV_371,2022-05-05,3559.52,15,2022-05-20,3559.52
INV_372,2023-01-25,5071.85,15,2023-02-09,5071.85
INV_373,2024-01-02,8558.15,5,2024-01-07,8558.15
INV_374,2024-07-09,29963.04,0,2024-07-09,29963.04
INV_375,2025-01-19,7948.38,0,2025-01-19,7948.38
INV_376,2022-10-04,48419.78,0,2022-10-04,48419.78
INV_377,2022-05-08,22612.37,5,2022-05-13,22612.37
INV_378,2022-10-19,25325.14,0,2022-10-19,25325.14
INV_379,2024-11-01,12709.6,0,2024-11-01,12709.6
INV_380,2024-12-11,23812.53,5,2024-12-16,23812.53
INV_381,2022-05-03,33264.72,0,2022-05-03,33264.72
INV_382,2022-06-23,37683.27,5,2022-06-28,37683.27
INV_383,2025-01-24,37816.47,30,2025-02-23,37816.47
INV_384,2022-09-24,29105.61,15,2022-10-09,29105.61
INV_385,2023-01-15,45265.81,15,2023-01-30,45265.81
INV_386,2022-07-20,40961.69,5,2022-07-25,40961.69
INV_387,2024-12-09,37973.88,5,2024-12-14,37973.88
INV_388,2024-02-03,3252.47,0,2024-02-03,3252.47
INV_389,2022-12-06,840.46,30,2023-01-05,840.46
INV_390,2023-12-20,11016.14,0,2023-12-20,11016.14
INV_391,2022-06-18,33344.42,0,2022-06-18,33344.42
INV_392,2022-05-10,20854.28,15,2022-05-25,20854.28
INV_393,2025-01-18,20419.11,0,2025-01-18,20419.11
INV_394,2022-11-01,44287.05,0,2022-11-01,44287.05
INV_395,2023-04-09,44830.36,-5,2023-04-04,44830.36
INV_396,2024-09-02,45504.18,0,2024-09-02,45504.18
INV_397,2023-04-11,16036.96,0,2023-04-11,16036.96
INV_398,2023-01-08,34707.26,0,2023-01-08,34707.26
INV_399,2023-10-27,13945.84,15,2023-11-11,13945.84
INV_400,2023-09-03,9935.19,15,2023-09-18,9935.19
INV_401,2024-07-25,9639.31,0,2024-07-25,9639.31
INV_402,2022-09-15,17434.33,30,2022-10-15,17434.33
INV_403,2024-02-21,21782.9,0,2024-02-21,21782.9
INV_404,2024-02-03,41631.98,0,2024-02-03,41631.98
INV_405,2023-06-14,6434.61,0,2023-06-14,6434.61
INV_406,2024-04-29,36878.83,5,2024-05-04,36878.83
INV_407,2024-09-11,26807.02,5,2024-09-16,26807.02
INV_408,2024-10-18,14753.29,5,2024-10-23,14753.29
INV_409,2022-10-17,24894.57,15,2022-11-01,24894.57
INV_410,2023-01-16,15347.13,5,2023-01-21,15347.13
INV_411,2023-12-16,30006.06,5,2023-12-21,30006.06
INV_412,2022-01-27,21975.27,30,2022-02-26,21975.27
INV_413,2024-04-01,8638.07,0,2024-04-01,8638.07
INV_414,2022-07-28,6270.86,0,2022-07-28,6270.86
INV_415,2023-06-02,27561.44,15,2023-06-17,27561.44
INV_416,2023-03-30,45169.45,5,2023-04-04,45169.45
INV_417,2024-01-17,17525.91,0,2024-01-17,17525.91
INV_418,2022-09-17,36783.51,0,2022-09-17,36783.51
INV_419,2023-12-02,33103.74,5,2023-12-07,33103.74
INV_420,2022-08-29,46611.97,5,2022-09-03,46611.97
INV_421,2022-07-30,41138.56,0,2022-07-30,41138.56
INV_422,2023-01-19,28546.96,30,2023-02-18,28546.96
INV_423,2022-08-13,33023.01,15,2022-08-28,33023.01
INV_424,2023-09-27,44970.13,5,2023-10-02,44970.13
INV_425,2025-01-28,20276.18,15,2025-02-12,20276.18
INV_426,2024-09-22,16676.34,30,2024-10-22,16676.34
INV_427,2023-03-12,1035.15,0,2023-03-12,1035.15
INV_428,2024-01-06,41414.28,0,2024-01-06,41414.28
INV_429,2023-02-14,40148.54,5,2023-02-19,40148.54
INV_430,2024-10-23,5670.5,15,2024-11-07,5670.5
INV_431,2024-04-13,29054.44,-5,2024-04-08,29054.44
INV_432,2023-09-23,23467.09,60,2023-11-22,23467.09
INV_433,2024-11-01,6376.1,5,2024-11-06,6376.1
INV_434,2023-06-09,49038.13,0,2023-06-09,49038.13
INV_435,2022-12-26,11127.45,0,2022-12-26,11127.45
INV_436,2022-12-26,3828.09,0,2022-12-26,3828.09
INV_437,2023-11-22,29944.95,15,2023-12-07,29944.95
INV_438,2022-08-05,37073.9,60,2022-10-04,37073.9
INV_439,2023-02-07,2105.95,5,2023-02-12,2105.95
INV_440,2022-04-04,33106.52,60,2022-06-03,33106.52
INV_441,2023-03-27,26848.45,15,2023-04-11,26848.45
INV_442,2023-04-07,5611.62,5,2023-04-12,5611.62
INV_443,2024-08-18,9039.93,15,2024-09-02,9039.93
INV_444,2024-02-19,28614.73,5,2024-02-24,28614.73
INV_445,2024-11-12,15169.7,5,2024-11-17,15169.7
INV_446,2024-06-15,46946.63,0,2024-06-15,46946.63
INV_447,2022-09-19,41027.64,15,2022-10-04,41027.64
INV_448,2022-12-23,49186.58,0,2022-12-23,49186.58
INV_449,2023-08-06,13353.71,15,2023-08-21,13353.71
