transaction_date,transaction_type,category,amount
2022-12-11,Inflow,Utilities,9087.09
2022-06-25,Outflow,Utilities,26686.85
2024-06-02,Outflow,Utilities,18259.54
2022-05-23,Inflow,Payroll,10316.31
2024-07-19,Outflow,Utilities,1825.8
2024-11-12,Outflow,Vendor Payments,35621.27
2022-06-30,Outflow,Marketing,31930.35
2024-12-04,Inflow,Payroll,33211.54
2022-04-02,Inflow,Payroll,17761.64
2022-02-03,Inflow,Marketing,30204.24
2023-11-09,Inflow,Vendor Payments,23374.64
2024-01-29,Outflow,Rent,15178.58
2023-01-17,Inflow,Sales,33756.86
2024-08-23,Outflow,Vendor Payments,39950.67
2023-01-22,Inflow,Marketing,36001.51
2023-06-19,Inflow,Utilities,31114.82
2022-07-19,Outflow,Utilities,29976.07
2022-10-02,Inflow,Marketing,26114.88
2023-05-16,Outflow,Utilities,34188.61
2023-04-04,Inflow,Marketing,19875.33
2022-02-19,Inflow,Payroll,7514.66
2024-08-27,Inflow,Rent,30791.57
2024-09-14,Inflow,Payroll,36804.4
2023-06-16,Outflow,Payroll,13851.69
2024-09-30,Inflow,Payroll,31384.44
2023-09-20,Outflow,Marketing,11166.79
2022-12-05,Inflow,Vendor Payments,37721.23
2024-12-12,Outflow,Sales,27433.4
2022-01-04,Inflow,Sales,22900.26
2022-10-08,Outflow,Rent,31260.85
2022-03-14,Outflow,Rent,32585.28
2024-02-07,Outflow,Marketing,35727.08
2024-08-28,Outflow,Sales,36074.45
2024-09-24,Inflow,Vendor Payments,2391.83
2022-07-27,Outflow,Marketing,5179.43
2022-09-17,Outflow,Rent,33094.62
2024-07-18,Inflow,Marketing,37858.25
2022-09-20,Outflow,Rent,12514.57
2024-02-22,Outflow,Sales,641.49
2023-05-20,Outflow,Marketing,13111.4
2022-07-22,Outflow,Payroll,15499.71
2022-02-21,Outflow,Utilities,30513.02
2022-12-29,Outflow,Rent,2189.11
2022-02-14,Inflow,Payroll,8741.82
2024-04-06,Inflow,Rent,35790.55
2024-02-28,Inflow,Payroll,6446.37
2024-02-10,Inflow,Sales,30442.13
2022-05-22,Inflow,Sales,14644.02
2024-03-07,Outflow,Vendor Payments,26607.61
2022-02-06,Inflow,Vendor Payments,3231.71
2022-02-14,Outflow,Vendor Payments,11676.35
2024-07-08,Outflow,Marketing,17164.15
2024-12-05,Outflow,Rent,34331.34
2023-07-19,Inflow,Marketing,22670.79
2022-10-28,Inflow,Vendor Payments,2095.44
2022-10-15,Inflow,Rent,32134.1
2024-02-25,Inflow,Marketing,2464.5
2022-09-26,Outflow,Sales,37394.35
2024-03-01,Inflow,Rent,8705.18
2024-12-21,Outflow,Vendor Payments,19670.67
2023-08-04,Inflow,Sales,3169.55
2024-07-24,Inflow,Rent,22599.98
2022-12-20,Outflow,Marketing,20039.98
2024-08-25,Inflow,Utilities,16586.87
2022-03-12,Outflow,Utilities,1712.24
2024-04-14,Outflow,Vendor Payments,35193.77
2023-02-17,Inflow,Marketing,32164.67
2023-09-04,Outflow,Sales,25431.29
2024-12-20,Outflow,Sales,23017.53
2023-09-07,Outflow,Sales,27889.37
2023-06-13,Inflow,Rent,6016.4
2022-07-10,Outflow,Vendor Payments,37325.98
2022-03-19,Inflow,Utilities,11601.53
2024-06-07,Inflow,Sales,26362.66
2024-08-06,Inflow,Marketing,24388.2
2022-01-17,Inflow,Vendor Payments,25573.57
2024-03-25,Inflow,Utilities,35194.4
2023-03-10,Inflow,Marketing,12047.67
2024-12-02,Inflow,Marketing,30033.24
2024-12-27,Inflow,Sales,24056.13
2022-07-31,Outflow,Vendor Payments,3319.6
2022-07-22,Inflow,Payroll,16741.94
2023-12-27,Outflow,Rent,33566.68
2022-04-19,Outflow,Payroll,12819.29
2024-08-25,Inflow,Rent,19445.88
2022-10-11,Inflow,Vendor Payments,19698.95
2024-07-29,Inflow,Utilities,24834.99
2024-01-07,Outflow,Sales,35395.51
2024-07-20,Outflow,Vendor Payments,7189.51
2023-08-26,Outflow,Payroll,20333.29
2023-05-06,Inflow,Marketing,17143.41
2022-01-19,Outflow,Rent,12048.03
2024-03-11,Inflow,Rent,36808.44
2024-01-30,Outflow,Payroll,624.39
2024-07-17,Inflow,Sales,5147.56
2022-10-25,Outflow,Vendor Payments,29413.77
2023-12-06,Outflow,Payroll,10758.63
2024-03-25,Outflow,Vendor Payments,29010.22
2024-03-13,Inflow,Sales,33340.47
2023-01-08,Outflow,Marketing,10408.26
2024-07-16,Inflow,Vendor Payments,7920.19
2024-08-08,Outflow,Sales,6068.44
2024-04-23,Outflow,Payroll,8243.52
2024-08-04,Inflow,Utilities,10907.26
2023-03-19,Outflow,Marketing,34789.37
2022-05-22,Inflow,Marketing,30869.18
2023-02-06,Inflow,Marketing,373.22
2024-04-02,Inflow,Rent,35002.53
2022-08-10,Outflow,Utilities,3428.85
2024-01-07,Outflow,Sales,26314.05
2024-09-20,Outflow,Vendor Payments,6313.55
2022-04-23,Inflow,Payroll,2772.35
2024-12-29,Outflow,Marketing,30462.9
2023-08-21,Inflow,Marketing,18847.96
2024-06-22,Outflow,Marketing,24082.78
2023-04-30,Inflow,Sales,17186.51
2023-07-05,Outflow,Payroll,2966.72
2024-10-30,Inflow,Sales,29662.84
2022-01-03,Outflow,Payroll,32867.94
2023-10-24,Outflow,Vendor Payments,1944.4
2022-03-08,Outflow,Rent,15215.97
2023-12-06,Inflow,Payroll,22425.47
2022-04-08,Inflow,Utilities,24325.78
2024-12-16,Inflow,Sales,23252.67
2022-03-29,Inflow,Sales,27809.74
2024-08-29,Outflow,Sales,38682.6
2023-10-15,Inflow,Rent,15806.28
2023-10-18,Inflow,Payroll,22397.96
2024-06-30,Inflow,Payroll,28053.42
2023-01-06,Outflow,Payroll,23819.23
2023-01-10,Inflow,Payroll,15654.02
2022-02-21,Outflow,Marketing,25075.95
2022-02-10,Inflow,Marketing,26109.43
2024-03-26,Outflow,Utilities,23523.25
2022-04-01,Outflow,Sales,8442.89
2022-02-08,Inflow,Marketing,20387.46
2024-11-02,Outflow,Payroll,35408.97
2024-06-18,Inflow,Payroll,34783.49
2023-09-13,Outflow,Marketing,30106.28
2022-04-14,Outflow,Vendor Payments,27978.66
2024-01-13,Inflow,Utilities,6385.18
2022-02-12,Outflow,Sales,18540.75
2022-07-28,Outflow,Rent,4704.77
2023-08-23,Outflow,Utilities,32746.19
2023-08-28,Inflow,Sales,11854.42
2023-04-21,Inflow,Sales,30744.57
2022-04-19,Inflow,Sales,32638.78
2022-08-02,Outflow,Utilities,35732.1
2023-02-13,Outflow,Utilities,30227.05
2024-02-10,Inflow,Marketing,22719.74
2023-09-25,Inflow,Sales,24047.94
2022-03-18,Outflow,Payroll,13027.12
2022-04-05,Outflow,Sales,7326.75
2022-09-26,Outflow,Payroll,5486.26
2022-12-27,Inflow,Marketing,7526.33
2023-06-14,Inflow,Marketing,37377.89
2023-11-14,Inflow,Sales,6828.0
2022-06-11,Inflow,Utilities,29032.38
2023-04-10,Outflow,Payroll,7629.75
2024-04-02,Inflow,Payroll,39019.0
2023-07-02,Outflow,Payroll,14853.41
2022-02-21,Inflow,Payroll,16661.82
2023-05-03,Outflow,Rent,16359.11
2022-04-02,Outflow,Marketing,32713.43
2023-10-13,Inflow,Payroll,8966.13
2022-12-23,Inflow,Rent,33291.68
2023-12-20,Outflow,Rent,26385.24
2022-07-18,Outflow,Marketing,9045.12
2024-03-25,Inflow,Vendor Payments,2896.68
2022-08-05,Outflow,Sales,31067.2
2023-07-10,Outflow,Marketing,8992.83
2024-03-13,Outflow,Vendor Payments,35595.95
2023-12-02,Outflow,Utilities,5452.48
2023-05-18,Inflow,Sales,24769.67
2023-04-14,Inflow,Sales,27779.09
2023-01-01,Outflow,Sales,26410.79
2023-09-16,Outflow,Rent,12846.38
2024-07-08,Inflow,Payroll,35058.28
2023-07-15,Outflow,Sales,30861.27
2024-04-02,Inflow,Payroll,20555.19
2024-08-24,Outflow,Sales,24250.73
2023-10-25,Outflow,Rent,22784.94
2024-01-21,Outflow,Utilities,37883.93
2023-01-18,Outflow,Sales,35887.61
2022-11-05,Outflow,Marketing,9649.24
2022-06-25,Inflow,Vendor Payments,10731.56
2022-08-16,Inflow,Sales,39263.09
2022-12-13,Outflow,Vendor Payments,9691.46
2024-10-17,Outflow,Vendor Payments,38153.13
2022-12-16,Outflow,Rent,26095.22
2023-03-31,Inflow,Utilities,2289.34
2023-03-17,Inflow,Vendor Payments,13628.37
2024-01-31,Outflow,Rent,19203.32
2023-05-30,Outflow,Utilities,33373.79
2022-10-15,Outflow,Sales,13344.84
2022-01-08,Inflow,Payroll,12629.96
2022-03-28,Inflow,Rent,36834.45
2024-09-24,Inflow,Vendor Payments,3437.66
2022-10-13,Outflow,Vendor Payments,22195.39
2022-03-15,Inflow,Sales,20318.3
2024-03-16,Inflow,Rent,2576.19
2022-06-07,Inflow,Sales,3784.04
2023-03-06,Outflow,Rent,15464.11
2024-04-25,Inflow,Payroll,5626.2
2022-02-05,Inflow,Marketing,19279.45
2024-10-17,Inflow,Sales,24472.89
2024-08-31,Outflow,Vendor Payments,27748.45
2024-10-14,Inflow,Sales,21994.86
2023-12-14,Outflow,Rent,15372.5
2024-12-05,Outflow,Sales,5451.42
2023-05-03,Outflow,Payroll,10125.17
2023-09-11,Outflow,Rent,16951.04
2022-06-19,Inflow,Utilities,36987.34
2022-05-26,Inflow,Vendor Payments,8343.24
2024-05-17,Inflow,Vendor Payments,16709.77
2023-02-24,Outflow,Rent,29372.66
2023-07-27,Outflow,Utilities,28296.57
2024-10-23,Outflow,Payroll,38634.03
2024-03-09,Outflow,Sales,7878.78
2022-11-17,Outflow,Marketing,955.83
2022-09-03,Outflow,Vendor Payments,13096.23
2023-04-22,Outflow,Payroll,6242.8
2024-02-22,Inflow,Payroll,22074.22
2023-06-17,Inflow,Payroll,35981.53
2022-08-25,Outflow,Sales,27622.61
2024-09-01,Outflow,Payroll,5691.21
2023-11-10,Outflow,Payroll,4908.77
2023-08-02,Inflow,Rent,36484.56
2022-05-10,Inflow,Rent,19658.1
2022-01-11,Inflow,Payroll,36969.82
2022-09-14,Inflow,Payroll,29527.84
2024-03-26,Outflow,Rent,39735.93
2023-01-04,Inflow,Sales,34887.74
2024-08-01,Outflow,Rent,16744.22
2024-05-31,Inflow,Rent,30401.64
2022-01-19,Inflow,Rent,19007.76
2022-04-20,Inflow,Rent,9552.97
2023-05-20,Outflow,Marketing,9868.86
2024-11-23,Outflow,Vendor Payments,16073.69
2024-09-29,Outflow,Sales,4725.21
2022-09-12,Outflow,Utilities,7357.32
2023-09-30,Outflow,Sales,20174.16
2022-05-14,Inflow,Payroll,38170.72
2023-05-14,Inflow,Marketing,23234.15
2023-02-01,Inflow,Payroll,16517.32
2023-10-09,Inflow,Sales,9935.2
2023-11-16,Inflow,Sales,8077.28
2022-01-19,Inflow,Utilities,26438.76
2024-10-07,Inflow,Utilities,33978.52
2022-04-29,Outflow,Payroll,16134.58
2022-10-29,Outflow,Vendor Payments,22161.16
2022-08-15,Inflow,Payroll,28357.05
2022-12-22,Outflow,Vendor Payments,2614.33
2023-12-02,Outflow,Vendor Payments,14230.61
2023-05-02,Inflow,Rent,29271.19
2022-08-11,Outflow,Sales,27479.38
2024-09-21,Inflow,Rent,2417.9
2023-05-15,Inflow,Sales,9741.39
2024-11-11,Inflow,Rent,27294.3
2022-12-31,Inflow,Vendor Payments,11075.22
2024-12-03,Inflow,Rent,32632.09
2023-06-03,Inflow,Marketing,1471.34
2023-06-13,Outflow,Rent,7856.78
2022-07-05,Outflow,Utilities,11468.13
2024-03-08,Outflow,Utilities,37034.01
2024-09-08,Outflow,Rent,31913.86
2022-12-14,Outflow,Rent,35400.56
2024-07-10,Inflow,Marketing,17787.02
2024-07-09,Outflow,Sales,32955.72
2024-08-14,Outflow,Rent,34183.69
2022-12-27,Inflow,Sales,16178.29
2022-07-01,Outflow,Utilities,39780.14
2022-04-07,Outflow,Payroll,34094.17
2023-07-17,Inflow,Vendor Payments,38971.65
2022-11-10,Inflow,Payroll,34699.94
2024-08-12,Inflow,Marketing,31115.28
2022-01-21,Outflow,Marketing,37770.6
2024-03-15,Inflow,Sales,16966.82
2023-07-30,Inflow,Sales,31398.34
2023-02-07,Inflow,Rent,8751.78
2023-09-05,Outflow,Payroll,29391.92
2024-08-27,Outflow,Sales,31478.53
2023-11-24,Outflow,Utilities,28746.02
2024-08-16,Inflow,Sales,34037.58
2024-05-21,Outflow,Utilities,16709.42
2024-04-19,Outflow,Sales,21927.29
2022-04-13,Outflow,Vendor Payments,723.5
2022-11-29,Outflow,Sales,6098.31
2024-01-23,Inflow,Vendor Payments,25874.5
2022-05-14,Inflow,Marketing,22623.99
2023-03-01,Inflow,Rent,8134.1
2024-07-25,Outflow,Payroll,9965.55
2023-05-20,Outflow,Sales,13960.06
2024-05-20,Outflow,Vendor Payments,28741.66
2022-07-09,Outflow,Sales,24505.75
2023-09-04,Outflow,Sales,3061.98
2022-02-21,Inflow,Vendor Payments,30469.58
2023-09-04,Inflow,Sales,10727.58
2023-01-09,Outflow,Payroll,26968.86
2023-01-10,Outflow,Utilities,5197.5
2023-01-24,Outflow,Utilities,39917.47
2023-11-05,Outflow,Utilities,3489.31
2024-03-14,Inflow,Utilities,29746.84
2023-02-08,Inflow,Marketing,21790.82
2023-08-16,Inflow,Rent,3711.79
2024-01-02,Outflow,Sales,1364.38
2023-05-20,Outflow,Vendor Payments,14697.83
2022-03-24,Outflow,Payroll,32148.29
2022-11-15,Inflow,Sales,1933.7
2024-12-26,Inflow,Marketing,28264.63
2023-02-18,Outflow,Marketing,26318.44
2023-03-29,Inflow,Vendor Payments,10841.85
2024-01-16,Outflow,Sales,3376.43
2022-07-17,Outflow,Utilities,36638.28
2022-09-16,Outflow,Sales,12223.89
2022-10-25,Outflow,Sales,4721.91
2022-10-27,Inflow,Marketing,27356.23
2022-05-09,Outflow,Sales,8902.24
2023-05-13,Inflow,Utilities,19182.54
2023-03-14,Inflow,Sales,2301.1
2022-07-26,Inflow,Sales,39721.46
2022-10-21,Inflow,Sales,18070.56
2022-01-29,Outflow,Utilities,39964.67
2022-06-28,Outflow,Utilities,15611.29
2022-02-10,Inflow,Vendor Payments,14109.75
2022-12-10,Inflow,Marketing,36608.52
2024-03-26,Inflow,Rent,13379.79
2024-01-07,Outflow,Vendor Payments,17450.62
2023-09-18,Outflow,Utilities,3400.98
2022-10-05,Inflow,Sales,38231.86
2023-06-13,Inflow,Rent,3680.5
2022-03-27,Inflow,Payroll,30916.04
2022-11-13,Inflow,Rent,21683.03
2023-11-24,Outflow,Vendor Payments,2737.78
2024-05-12,Inflow,Marketing,367.64
2022-11-11,Inflow,Vendor Payments,37441.48
2022-08-13,Inflow,Marketing,29764.28
2024-12-13,Outflow,Marketing,27551.52
2022-03-09,Inflow,Utilities,17710.69
2024-10-17,Outflow,Marketing,9772.97
2024-05-05,Outflow,Payroll,27290.56
2024-12-31,Outflow,Rent,24449.55
2024-06-01,Inflow,Vendor Payments,29135.79
2024-08-28,Inflow,Vendor Payments,14821.96
2022-07-19,Inflow,Marketing,39480.87
2022-11-28,Inflow,Utilities,2960.24
2023-07-01,Inflow,Payroll,3464.15
2022-03-07,Inflow,Payroll,36699.97
2024-01-01,Inflow,Sales,26013.95
2023-07-22,Inflow,Payroll,13255.46
2023-10-19,Outflow,Marketing,30549.52
2023-02-08,Inflow,Marketing,18275.1
2023-09-10,Inflow,Rent,1138.52
2023-08-19,Inflow,Marketing,26148.82
2023-10-10,Outflow,Rent,9951.54
2022-05-26,Outflow,Payroll,4878.8
2024-01-31,Inflow,Sales,9243.35
2022-05-05,Outflow,Utilities,19203.47
2023-04-25,Inflow,Vendor Payments,2279.3
2024-09-28,Outflow,Marketing,35361.15
2023-12-13,Outflow,Payroll,22528.75
2023-12-16,Outflow,Marketing,11931.95
2024-03-25,Outflow,Rent,27574.09
2024-11-19,Inflow,Payroll,32228.19
2022-02-25,Inflow,Vendor Payments,24672.81
2022-05-12,Inflow,Rent,8339.04
2022-08-19,Outflow,Payroll,4678.45
2023-01-30,Inflow,Utilities,34438.02
2024-09-08,Inflow,Utilities,9617.09
2024-08-20,Inflow,Vendor Payments,1097.27
2024-07-21,Inflow,Utilities,25823.21
2024-06-26,Outflow,Rent,6369.55
2023-06-17,Inflow,Vendor Payments,39641.5
2024-08-22,Inflow,Payroll,34828.31
2023-03-24,Inflow,Rent,24455.3
2022-05-06,Outflow,Utilities,33404.47
2023-07-09,Inflow,Sales,18980.27
2023-11-25,Inflow,Marketing,31602.9
2023-05-04,Outflow,Utilities,25967.38
2023-09-04,Inflow,Sales,1437.19
2024-06-09,Inflow,Vendor Payments,37965.68
2023-03-22,Outflow,Payroll,34478.51
2023-05-23,Inflow,Marketing,38150.27
2023-04-02,Inflow,Payroll,29335.23
2024-09-12,Outflow,Vendor Payments,16658.82
2023-01-20,Inflow,Payroll,8517.31
2023-12-13,Inflow,Rent,7445.85
2024-07-17,Outflow,Rent,6053.18
2023-03-28,Outflow,Utilities,9058.2
2023-10-16,Outflow,Utilities,22160.25
2023-06-05,Inflow,Utilities,27444.68
2023-06-22,Inflow,Utilities,12768.05
2022-05-25,Outflow,Vendor Payments,22085.25
2024-12-27,Inflow,Payroll,13847.73
2023-12-01,Inflow,Utilities,27951.45
2022-05-11,Outflow,Vendor Payments,39542.9
2024-01-03,Inflow,Marketing,27653.97
2023-05-28,Inflow,Utilities,2643.51
2023-10-02,Inflow,Payroll,19246.23
2022-01-01,Outflow,Rent,30884.38
2023-03-08,Inflow,Sales,21826.99
2023-01-26,Inflow,Rent,38057.2
2023-02-03,Inflow,Payroll,2474.44
2024-03-18,Outflow,Payroll,11858.88
2023-01-30,Inflow,Payroll,9062.51
2024-08-09,Inflow,Payroll,30774.6
2022-06-23,Outflow,Utilities,21094.58
2024-12-04,Inflow,Marketing,5792.27
2024-05-04,Inflow,Sales,11638.05
2023-06-23,Outflow,Utilities,21049.58
2024-01-15,Outflow,Rent,39846.32
2023-12-22,Inflow,Marketing,14762.41
2022-02-19,Outflow,Vendor Payments,6526.0
2024-12-20,Inflow,Payroll,20033.54
2022-08-31,Outflow,Rent,12614.4
2023-08-20,Outflow,Vendor Payments,22768.88
2022-10-03,Outflow,Sales,18828.4
2024-11-20,Inflow,Rent,27672.75
2022-01-08,Inflow,Marketing,36597.34
2023-12-16,Outflow,Utilities,8260.42
2022-02-02,Outflow,Vendor Payments,32900.85
2024-03-20,Outflow,Rent,37985.85
2024-07-16,Inflow,Utilities,15132.3
2024-05-11,Inflow,Utilities,4812.41
2022-02-06,Outflow,Utilities,32929.87
2022-02-03,Outflow,Marketing,28133.5
2023-03-31,Inflow,Payroll,8744.67
2023-03-20,Outflow,Rent,17975.38
2022-07-31,Outflow,Utilities,23246.29
2023-12-03,Inflow,Payroll,7043.21
2023-08-31,Outflow,Utilities,28682.04
2024-09-08,Inflow,Vendor Payments,27688.34
2022-12-27,Outflow,Vendor Payments,35518.93
2022-10-31,Outflow,Vendor Payments,22820.74
2022-10-23,Inflow,Payroll,23100.23
2022-06-01,Outflow,Payroll,24889.68
2023-08-23,Outflow,Utilities,11169.2
2022-07-30,Outflow,Marketing,30416.65
2022-08-20,Inflow,Rent,26601.22
2024-05-19,Inflow,Marketing,33614.08
2023-11-26,Outflow,Payroll,30812.86
2023-01-02,Inflow,Rent,25651.32
2023-04-26,Inflow,Vendor Payments,6687.42
2023-07-26,Inflow,Marketing,36790.15
2024-07-18,Inflow,Marketing,14878.32
2024-11-05,Outflow,Marketing,38582.65
2023-04-11,Outflow,Payroll,16254.27
2022-10-21,Outflow,Rent,6093.75
2022-06-20,Outflow,Vendor Payments,35428.14
2024-11-21,Outflow,Payroll,31863.83
2022-09-20,Inflow,Vendor Payments,31515.95
2023-07-12,Outflow,Sales,3849.61
2022-07-08,Inflow,Sales,35207.41
2024-02-25,Inflow,Vendor Payments,23977.11
2023-08-06,Inflow,Sales,18973.12
2024-09-28,Inflow,Rent,36552.91
2023-08-23,Inflow,Rent,26741.84
2024-04-25,Inflow,Payroll,5581.32
2022-12-08,Inflow,Vendor Payments,20925.63
2024-08-11,Inflow,Payroll,25573.68
2022-01-22,Inflow,Rent,35972.46
2022-06-15,Inflow,Rent,11411.8
2022-08-22,Inflow,Rent,31831.09
2023-10-03,Inflow,Marketing,32052.57
2023-08-30,Outflow,Sales,5383.56
2023-06-24,Outflow,Payroll,984.16
2024-11-24,Outflow,Payroll,23381.96
2022-11-14,Outflow,Rent,31642.31
2022-12-09,Outflow,Marketing,22310.9
2024-09-05,Outflow,Payroll,32589.9
2023-09-29,Inflow,Utilities,25005.43
2022-03-20,Inflow,Payroll,26235.71
2024-06-11,Inflow,Marketing,1417.73
2023-07-27,Outflow,Rent,3817.35
2023-03-25,Outflow,Marketing,29083.68
2022-10-09,Outflow,Sales,30584.88
2023-11-06,Inflow,Payroll,21824.47
2022-02-26,Outflow,Sales,23729.56
2022-07-10,Outflow,Payroll,24690.32
2023-10-06,Inflow,Sales,4468.16
2022-02-11,Outflow,Payroll,26815.97
2023-11-10,Inflow,Utilities,19295.26
2023-05-17,Inflow,Rent,24220.16
2024-02-29,Inflow,Utilities,22656.73
2024-01-20,Outflow,Vendor Payments,30591.11
2024-01-12,Inflow,Marketing,12947.16
2022-06-14,Inflow,Payroll,15128.99
2024-01-25,Inflow,Marketing,15846.77
2022-03-31,Inflow,Payroll,30569.51
2024-09-13,Inflow,Vendor Payments,17415.17
2024-12-17,Inflow,Rent,7329.87
2023-10-10,Inflow,Rent,39326.73
2024-01-20,Inflow,Marketing,19887.26
2024-03-29,Inflow,Utilities,4637.15
2022-08-31,Outflow,Vendor Payments,26909.92
2023-10-25,Outflow,Marketing,29644.75
2024-05-07,Inflow,Rent,20158.85
2022-08-07,Inflow,Sales,25964.35
2022-01-09,Outflow,Marketing,7155.19
2023-03-06,Inflow,Payroll,14906.52
2022-01-13,Outflow,Rent,6724.6
2024-06-25,Inflow,Payroll,15673.24
2024-08-27,Inflow,Vendor Payments,22643.18
2023-11-21,Outflow,Utilities,17868.81
2024-12-26,Outflow,Utilities,23850.63
2023-11-08,Inflow,Rent,20219.84
2022-07-03,Inflow,Rent,12917.23
2024-10-01,Outflow,Utilities,5993.62
2022-07-27,Inflow,Marketing,10331.11
2023-06-12,Outflow,Utilities,8268.32
2024-03-28,Inflow,Utilities,28384.67
2024-09-29,Inflow,Marketing,32852.68
2023-03-31,Inflow,Payroll,28899.43
2024-06-20,Outflow,Marketing,25856.25
2022-09-01,Inflow,Sales,12521.7
2024-02-10,Inflow,Rent,28526.13
2022-08-26,Inflow,Utilities,24321.81
2022-12-11,Outflow,Vendor Payments,2161.67
2022-11-06,Outflow,Rent,36332.2
2022-02-07,Outflow,Utilities,3474.17
2022-02-01,Outflow,Payroll,20257.5
2022-10-19,Inflow,Utilities,20668.85
2022-10-19,Outflow,Marketing,33529.19
2024-01-28,Inflow,Rent,36548.78
2023-08-01,Inflow,Marketing,37605.13
2023-08-28,Inflow,Utilities,22915.98
2023-03-23,Outflow,Payroll,27257.98
2022-10-05,Outflow,Marketing,3814.24
2024-09-20,Outflow,Vendor Payments,19670.27
2023-06-16,Outflow,Utilities,35944.91
2024-09-10,Outflow,Payroll,18391.18
2023-08-25,Outflow,Rent,3062.88
2023-07-16,Inflow,Rent,8265.45
2024-10-30,Outflow,Vendor Payments,17351.42
2023-08-14,Outflow,Sales,9729.87
2022-02-28,Outflow,Marketing,15874.02
2023-04-04,Inflow,Utilities,13518.59
2022-04-14,Inflow,Rent,12961.48
2024-04-10,Inflow,Utilities,3919.24
2024-02-28,Inflow,Vendor Payments,35343.77
2022-04-14,Inflow,Marketing,27800.44
2024-01-12,Outflow,Payroll,25048.26
2022-10-28,Outflow,Utilities,24376.84
2023-10-16,Outflow,Vendor Payments,16041.14
2023-07-09,Inflow,Payroll,32985.62
2023-09-20,Inflow,Payroll,37222.59
2024-07-17,Inflow,Payroll,523.0
